wave,download_batch,source_type,bundle_slug,bundle_title,bundle_url,product_id,entrepedia_title,entrepedia_url,entrepedia_format,imu_type,imu_category,imu_title,imu_summary,status,staging_hint
1,1,bundle_product,the-cash-flow-system-for-small-businesses,The Cash Flow System for Small Businesses,https://www.entrepedia.co/library/bundles/the-cash-flow-system-for-small-businesses,af0b575d-d13d-4b36-bd05-72c4fcb5593d,Business Cash Control,https://www.entrepedia.co/library/product/af0b575d-d13d-4b36-bd05-72c4fcb5593d,Audio,audio,wealth-creation,Business Cash Control,Part of Cash Flow Desk for Operators: Business Cash Control.,downloaded,iMU-import\batch-1\the-cash-flow-system-for-small-businesses
1,1,bundle_product,the-cash-flow-system-for-small-businesses,The Cash Flow System for Small Businesses,https://www.entrepedia.co/library/bundles/the-cash-flow-system-for-small-businesses,1ab9761e-476a-446e-b7be-224031cb36b7,7 Cash Flow Mistakes That Sink Profitable Businesses,https://www.entrepedia.co/library/product/1ab9761e-476a-446e-b7be-224031cb36b7,Listicle,guide,wealth-creation,7 Cash Flow Mistakes That Sink Profitable Businesses,Part of Cash Flow Desk for Operators: 7 Cash Flow Mistakes That Sink Profitable Businesses.,downloaded,iMU-import\batch-1\the-cash-flow-system-for-small-businesses
1,1,bundle_product,the-cash-flow-system-for-small-businesses,The Cash Flow System for Small Businesses,https://www.entrepedia.co/library/bundles/the-cash-flow-system-for-small-businesses,2d160c1b-e470-4e4a-a7d4-5807c9b55dbb,Master Your Cash Flow in 7 Days,https://www.entrepedia.co/library/product/2d160c1b-e470-4e4a-a7d4-5807c9b55dbb,Mini-Course,course,wealth-creation,Master Your Cash Flow in 7 Days,Part of Cash Flow Desk for Operators: Master Your Cash Flow in 7 Days.,downloaded,iMU-import\batch-1\the-cash-flow-system-for-small-businesses
1,1,bundle_product,the-cash-flow-system-for-small-businesses,The Cash Flow System for Small Businesses,https://www.entrepedia.co/library/bundles/the-cash-flow-system-for-small-businesses,8e36c202-0313-483b-8158-4ed9687cffb5,Control Your Business Cash Flow,https://www.entrepedia.co/library/product/8e36c202-0313-483b-8158-4ed9687cffb5,Prompt Pack,guide,wealth-creation,Control Your Business Cash Flow,Part of Cash Flow Desk for Operators: Control Your Business Cash Flow.,downloaded,iMU-import\batch-1\the-cash-flow-system-for-small-businesses
1,1,bundle_product,the-cash-flow-system-for-small-businesses,The Cash Flow System for Small Businesses,https://www.entrepedia.co/library/bundles/the-cash-flow-system-for-small-businesses,24ef61c3-d2a2-4868-90e9-46a84748aa41,The Weekend Cash Control Setup,https://www.entrepedia.co/library/product/24ef61c3-d2a2-4868-90e9-46a84748aa41,Guide,guide,wealth-creation,Weekend Cash Control Setup,Part of Cash Flow Desk for Operators: The Weekend Cash Control Setup.,downloaded,iMU-import\batch-1\the-cash-flow-system-for-small-businesses
1,1,bundle_product,the-cash-flow-system-for-small-businesses,The Cash Flow System for Small Businesses,https://www.entrepedia.co/library/bundles/the-cash-flow-system-for-small-businesses,5331a4f2-77c7-421d-84f1-a6e391555bc8,Red Light Emergency Protocol,https://www.entrepedia.co/library/product/5331a4f2-77c7-421d-84f1-a6e391555bc8,Checklist,guide,wealth-creation,Red Light Emergency Protocol,Part of Cash Flow Desk for Operators: Red Light Emergency Protocol.,downloaded,iMU-import\batch-1\the-cash-flow-system-for-small-businesses
1,1,bundle_product,the-cash-flow-system-for-small-businesses,The Cash Flow System for Small Businesses,https://www.entrepedia.co/library/bundles/the-cash-flow-system-for-small-businesses,a5a8efa2-7cc4-498a-9b16-9a5b2bd895ed,The Cash Flow System for Small Businesses,https://www.entrepedia.co/library/product/a5a8efa2-7cc4-498a-9b16-9a5b2bd895ed,Book,book,wealth-creation,Cash Flow Desk for Operators,"Track, forecast, and stabilize business cash so growth does not starve the desk.",downloaded,iMU-import\batch-1\the-cash-flow-system-for-small-businesses
1,1,bundle_product,the-first-time-entrepreneur-launchpad,The First-Time Entrepreneur Launchpad,https://www.entrepedia.co/library/bundles/the-first-time-entrepreneur-launchpad,b0f310fd-7892-4f76-a1c2-e19907339cbb,The Entrepreneur Starting Line,https://www.entrepedia.co/library/product/b0f310fd-7892-4f76-a1c2-e19907339cbb,Book,book,wealth-creation,Entrepreneur Starting Line,Part of First Seat Launchpad: The Entrepreneur Starting Line.,downloaded,iMU-import\batch-1\the-first-time-entrepreneur-launchpad
1,1,bundle_product,the-first-time-entrepreneur-launchpad,The First-Time Entrepreneur Launchpad,https://www.entrepedia.co/library/bundles/the-first-time-entrepreneur-launchpad,333d4f38-adad-44f5-8054-58b1cdd14d7b,21 Money Traps That Kill First-Time Businesses Before They Start,https://www.entrepedia.co/library/product/333d4f38-adad-44f5-8054-58b1cdd14d7b,Book,book,wealth-creation,21 Money Traps That Kill First-Time Businesses Before They Start,Part of First Seat Launchpad: 21 Money Traps That Kill First-Time Businesses Before They Start.,downloaded,iMU-import\batch-1\the-first-time-entrepreneur-launchpad
1,1,bundle_product,the-first-time-entrepreneur-launchpad,The First-Time Entrepreneur Launchpad,https://www.entrepedia.co/library/bundles/the-first-time-entrepreneur-launchpad,274850ee-c849-4f8c-b8e6-d033d284c126,Get Your First Paying Customer,https://www.entrepedia.co/library/product/274850ee-c849-4f8c-b8e6-d033d284c126,Book,book,wealth-creation,Get Your First Paying Customer,Part of First Seat Launchpad: Get Your First Paying Customer.,downloaded,iMU-import\batch-1\the-first-time-entrepreneur-launchpad
1,1,bundle_product,the-first-time-entrepreneur-launchpad,The First-Time Entrepreneur Launchpad,https://www.entrepedia.co/library/bundles/the-first-time-entrepreneur-launchpad,4aab5077-1926-4d8f-a364-3f0d8fb0ac8a,First-Time Entrepreneurs Launch Assistant,https://www.entrepedia.co/library/product/4aab5077-1926-4d8f-a364-3f0d8fb0ac8a,Prompt Pack,guide,wealth-creation,First-Time Entrepreneurs Launch Assistant,Part of First Seat Launchpad: First-Time Entrepreneurs Launch Assistant.,downloaded,iMU-import\batch-1\the-first-time-entrepreneur-launchpad
1,1,bundle_product,the-first-time-entrepreneur-launchpad,The First-Time Entrepreneur Launchpad,https://www.entrepedia.co/library/bundles/the-first-time-entrepreneur-launchpad,39abbf1c-1b66-4d6c-b61b-e29418fa44c6,The Three-Number Pricing Formula,https://www.entrepedia.co/library/product/39abbf1c-1b66-4d6c-b61b-e29418fa44c6,Book,book,wealth-creation,Three-Number Pricing Formula,Part of First Seat Launchpad: The Three-Number Pricing Formula.,downloaded,iMU-import\batch-1\the-first-time-entrepreneur-launchpad
1,1,bundle_product,the-first-time-entrepreneur-launchpad,The First-Time Entrepreneur Launchpad,https://www.entrepedia.co/library/bundles/the-first-time-entrepreneur-launchpad,4c3edb46-e7b5-48b8-bb66-bc7f8afc0feb,Minimum Viable Offer Design,https://www.entrepedia.co/library/product/4c3edb46-e7b5-48b8-bb66-bc7f8afc0feb,Book,book,wealth-creation,Minimum Viable Offer Design,Part of First Seat Launchpad: Minimum Viable Offer Design.,downloaded,iMU-import\batch-1\the-first-time-entrepreneur-launchpad
