wave,download_batch,source_type,bundle_slug,bundle_title,bundle_url,product_id,entrepedia_title,entrepedia_url,entrepedia_format,imu_type,imu_category,imu_title,imu_summary,status,staging_hint,desk_title,desk_summary
2,1,bundle_product,the-backlink-blueprint,The Backlink Blueprint,https://www.entrepedia.co/library/bundles/the-backlink-blueprint,2737f7bd-a11d-4fc4-965e-8894b76e103d,Link Building Intelligence,https://www.entrepedia.co/library/product/2737f7bd-a11d-4fc4-965e-8894b76e103d,Audio,audio,marketing,Link Building Intelligence,Part of Backlink Blueprint Desk: Link Building Intelligence.,uploaded,iMU-import\wave2\batch-1\the-backlink-blueprint,Backlink Blueprint Desk,Earn authority links with modern reclamation and outreach systems.
2,1,bundle_product,the-backlink-blueprint,The Backlink Blueprint,https://www.entrepedia.co/library/bundles/the-backlink-blueprint,ec91e492-c3f0-493b-8a0d-3db16fc5d14a,13 Backlink Mistakes Quietly Killing Your Rankings Right Now,https://www.entrepedia.co/library/product/ec91e492-c3f0-493b-8a0d-3db16fc5d14a,Listicle,guide,marketing,13 Backlink Mistakes Quietly Killing Your Rankings Right Now,Part of Backlink Blueprint Desk: 13 Backlink Mistakes Quietly Killing Your Rankings Right Now.,uploaded,iMU-import\wave2\batch-1\the-backlink-blueprint,Backlink Blueprint Desk,Earn authority links with modern reclamation and outreach systems.
2,1,bundle_product,the-backlink-blueprint,The Backlink Blueprint,https://www.entrepedia.co/library/bundles/the-backlink-blueprint,4c9ba58b-f90f-4270-8d17-b840d51a7847,Earn Your First High-Authority Backlinks,https://www.entrepedia.co/library/product/4c9ba58b-f90f-4270-8d17-b840d51a7847,Mini-Course,course,marketing,Earn Your First High-Authority Backlinks,Part of Backlink Blueprint Desk: Earn Your First High-Authority Backlinks.,uploaded,iMU-import\wave2\batch-1\the-backlink-blueprint,Backlink Blueprint Desk,Earn authority links with modern reclamation and outreach systems.
2,1,bundle_product,the-backlink-blueprint,The Backlink Blueprint,https://www.entrepedia.co/library/bundles/the-backlink-blueprint,8d2da7b2-20b7-45dd-8a35-499220129386,The Link Builder's Helper,https://www.entrepedia.co/library/product/8d2da7b2-20b7-45dd-8a35-499220129386,Prompt Pack,guide,marketing,The Link Builder's Helper,Part of Backlink Blueprint Desk: The Link Builder's Helper.,uploaded,iMU-import\wave2\batch-1\the-backlink-blueprint,Backlink Blueprint Desk,Earn authority links with modern reclamation and outreach systems.
2,1,bundle_product,the-backlink-blueprint,The Backlink Blueprint,https://www.entrepedia.co/library/bundles/the-backlink-blueprint,dba254a6-f425-4aad-b353-89747cb6418b,Run the 1:1 Match Reclamation Play,https://www.entrepedia.co/library/product/dba254a6-f425-4aad-b353-89747cb6418b,Guide,guide,marketing,Run the 1:1 Match Reclamation Play,Part of Backlink Blueprint Desk: Run the 1:1 Match Reclamation Play.,uploaded,iMU-import\wave2\batch-1\the-backlink-blueprint,Backlink Blueprint Desk,Earn authority links with modern reclamation and outreach systems.
2,1,bundle_product,the-backlink-blueprint,The Backlink Blueprint,https://www.entrepedia.co/library/bundles/the-backlink-blueprint,39345f4b-aadd-4572-8eac-8ef6008c5fe8,Is Your Backlink Profile Ready to Disavow?,https://www.entrepedia.co/library/product/39345f4b-aadd-4572-8eac-8ef6008c5fe8,Checklist,guide,marketing,Is Your Backlink Profile Ready to Disavow?,Part of Backlink Blueprint Desk: Is Your Backlink Profile Ready to Disavow?.,uploaded,iMU-import\wave2\batch-1\the-backlink-blueprint,Backlink Blueprint Desk,Earn authority links with modern reclamation and outreach systems.
2,1,bundle_product,the-backlink-blueprint,The Backlink Blueprint,https://www.entrepedia.co/library/bundles/the-backlink-blueprint,8865af9e-db4b-46b7-a81d-17e0d5fb3b4f,The Backlink Blueprint,https://www.entrepedia.co/library/product/8865af9e-db4b-46b7-a81d-17e0d5fb3b4f,Book,book,marketing,The Backlink Blueprint,Part of Backlink Blueprint Desk: The Backlink Blueprint.,uploaded,iMU-import\wave2\batch-1\the-backlink-blueprint,Backlink Blueprint Desk,Earn authority links with modern reclamation and outreach systems.
2,1,bundle_product,hire-right-keep-them-longer,"Hire Right, Keep Them Longer",https://www.entrepedia.co/library/bundles/hire-right-keep-them-longer,d2f1dc6f-fa1e-42ae-8cd3-1a85e1fd28c7,Hiring Without Regret,https://www.entrepedia.co/library/product/d2f1dc6f-fa1e-42ae-8cd3-1a85e1fd28c7,Audio,audio,personal-development,Hiring Without Regret,Part of Hire & Retain Desk: Hiring Without Regret.,uploaded,iMU-import\wave2\batch-1\hire-right-keep-them-longer,Hire & Retain Desk,"Interview, onboard, and keep operators who actually stay."
2,1,bundle_product,hire-right-keep-them-longer,"Hire Right, Keep Them Longer",https://www.entrepedia.co/library/bundles/hire-right-keep-them-longer,39637031-bf45-417c-8120-78598a06f2d4,21 Reasons Why You Keep Losing Candidates to Your Competitors,https://www.entrepedia.co/library/product/39637031-bf45-417c-8120-78598a06f2d4,Listicle,guide,personal-development,21 Reasons Why You Keep Losing Candidates to Your Competitors,Part of Hire & Retain Desk: 21 Reasons Why You Keep Losing Candidates to Your Competitors.,uploaded,iMU-import\wave2\batch-1\hire-right-keep-them-longer,Hire & Retain Desk,"Interview, onboard, and keep operators who actually stay."
2,1,bundle_product,hire-right-keep-them-longer,"Hire Right, Keep Them Longer",https://www.entrepedia.co/library/bundles/hire-right-keep-them-longer,fd4e3c7f-7d21-4901-8438-231995f7084c,Fix Your Hiring Process,https://www.entrepedia.co/library/product/fd4e3c7f-7d21-4901-8438-231995f7084c,Mini-Course,course,personal-development,Fix Your Hiring Process,Part of Hire & Retain Desk: Fix Your Hiring Process.,uploaded,iMU-import\wave2\batch-1\hire-right-keep-them-longer,Hire & Retain Desk,"Interview, onboard, and keep operators who actually stay."
2,1,bundle_product,hire-right-keep-them-longer,"Hire Right, Keep Them Longer",https://www.entrepedia.co/library/bundles/hire-right-keep-them-longer,f4bd5b38-ce5b-42db-bfb7-99925e9c89a3,Talent Acquisition Assistant,https://www.entrepedia.co/library/product/f4bd5b38-ce5b-42db-bfb7-99925e9c89a3,Prompt Pack,guide,personal-development,Talent Acquisition Assistant,Part of Hire & Retain Desk: Talent Acquisition Assistant.,uploaded,iMU-import\wave2\batch-1\hire-right-keep-them-longer,Hire & Retain Desk,"Interview, onboard, and keep operators who actually stay."
2,1,bundle_product,hire-right-keep-them-longer,"Hire Right, Keep Them Longer",https://www.entrepedia.co/library/bundles/hire-right-keep-them-longer,eade5500-0e07-4754-b25d-c56729e755b9,The Structured Interview Playbook,https://www.entrepedia.co/library/product/eade5500-0e07-4754-b25d-c56729e755b9,Guide,guide,personal-development,The Structured Interview Playbook,Part of Hire & Retain Desk: The Structured Interview Playbook.,uploaded,iMU-import\wave2\batch-1\hire-right-keep-them-longer,Hire & Retain Desk,"Interview, onboard, and keep operators who actually stay."
2,1,bundle_product,hire-right-keep-them-longer,"Hire Right, Keep Them Longer",https://www.entrepedia.co/library/bundles/hire-right-keep-them-longer,3ee23181-e02e-4937-b55e-775af69f31d0,Outcome-Based Job Posting Creation,https://www.entrepedia.co/library/product/3ee23181-e02e-4937-b55e-775af69f31d0,Checklist,guide,personal-development,Outcome-Based Job Posting Creation,Part of Hire & Retain Desk: Outcome-Based Job Posting Creation.,uploaded,iMU-import\wave2\batch-1\hire-right-keep-them-longer,Hire & Retain Desk,"Interview, onboard, and keep operators who actually stay."
2,1,bundle_product,hire-right-keep-them-longer,"Hire Right, Keep Them Longer",https://www.entrepedia.co/library/bundles/hire-right-keep-them-longer,4e3da156-c0d2-47cc-b640-c30a2686f564,"Hire Right, Keep Them Longer",https://www.entrepedia.co/library/product/4e3da156-c0d2-47cc-b640-c30a2686f564,Book,book,personal-development,"Hire Right, Keep Them Longer","Part of Hire & Retain Desk: Hire Right, Keep Them Longer.",uploaded,iMU-import\wave2\batch-1\hire-right-keep-them-longer,Hire & Retain Desk,"Interview, onboard, and keep operators who actually stay."
2,1,bundle_product,sales-automation-chatbots,Sales Automation Chatbots,https://www.entrepedia.co/library/bundles/sales-automation-chatbots,5f526231-5cfe-44a1-9f9b-b2e300596e97,Conversations That Convert,https://www.entrepedia.co/library/product/5f526231-5cfe-44a1-9f9b-b2e300596e97,Audio,audio,marketing,Conversations That Convert,Part of Sales Chatbot Automation: Conversations That Convert.,uploaded,iMU-import\wave2\batch-1\sales-automation-chatbots,Sales Chatbot Automation,Automate qualification and follow-up without losing the close.
2,1,bundle_product,sales-automation-chatbots,Sales Automation Chatbots,https://www.entrepedia.co/library/bundles/sales-automation-chatbots,8a7cb8a1-4f8c-444f-9457-b0f1ac61bc04,7 Chatbot Mistakes Killing Your Sales,https://www.entrepedia.co/library/product/8a7cb8a1-4f8c-444f-9457-b0f1ac61bc04,Listicle,guide,marketing,7 Chatbot Mistakes Killing Your Sales,Part of Sales Chatbot Automation: 7 Chatbot Mistakes Killing Your Sales.,uploaded,iMU-import\wave2\batch-1\sales-automation-chatbots,Sales Chatbot Automation,Automate qualification and follow-up without losing the close.
2,1,bundle_product,sales-automation-chatbots,Sales Automation Chatbots,https://www.entrepedia.co/library/bundles/sales-automation-chatbots,64ab5e44-5609-4531-a391-c9d780e08c65,Build Your Sales Bot in 7 Days,https://www.entrepedia.co/library/product/64ab5e44-5609-4531-a391-c9d780e08c65,Mini-Course,course,marketing,Build Your Sales Bot in 7 Days,Part of Sales Chatbot Automation: Build Your Sales Bot in 7 Days.,uploaded,iMU-import\wave2\batch-1\sales-automation-chatbots,Sales Chatbot Automation,Automate qualification and follow-up without losing the close.
2,1,bundle_product,sales-automation-chatbots,Sales Automation Chatbots,https://www.entrepedia.co/library/bundles/sales-automation-chatbots,5cdb3988-7924-46f9-92a0-a8b89c04b655,Sales Automation & Conversational AI,https://www.entrepedia.co/library/product/5cdb3988-7924-46f9-92a0-a8b89c04b655,Toolstack,guide,marketing,Sales Automation & Conversational AI,Part of Sales Chatbot Automation: Sales Automation & Conversational AI.,uploaded,iMU-import\wave2\batch-1\sales-automation-chatbots,Sales Chatbot Automation,Automate qualification and follow-up without losing the close.
2,1,bundle_product,sales-automation-chatbots,Sales Automation Chatbots,https://www.entrepedia.co/library/bundles/sales-automation-chatbots,5593588e-8aa4-4e2f-8664-901ab7917e72,Build Your Automated Sales Chatbot,https://www.entrepedia.co/library/product/5593588e-8aa4-4e2f-8664-901ab7917e72,Prompt Pack,guide,marketing,Build Your Automated Sales Chatbot,Part of Sales Chatbot Automation: Build Your Automated Sales Chatbot.,uploaded,iMU-import\wave2\batch-1\sales-automation-chatbots,Sales Chatbot Automation,Automate qualification and follow-up without losing the close.
